prop_ally,beta,prop_ally_top_k,prop_min_top_k
0.0,0.05,0.0,0.06
0.0,0.1,0.0,0.14
0.0,0.15,0.0,0.16666666666666666
0.0,0.2,0.0,0.165
0.0,0.25,0.0,0.172
0.0,0.3,0.0,0.18333333333333332
0.0,0.35,0.0,0.2
0.0,0.4,0.0,0.175
0.0,0.45,0.0,0.15555555555555556
0.0,0.5,0.0,0.14
0.0,0.55,0.0,0.12727272727272726
0.0,0.6,0.0,0.11666666666666667
0.0,0.65,0.0,0.1076923076923077
0.0,0.7,0.0,0.1
0.0,0.75,0.0,0.09333333333333334
0.0,0.8,0.0,0.0875
0.0,0.85,0.0,0.08235294117647059
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.0,0.05,0.0,0.14
0.0,0.1,0.0,0.17
0.0,0.15,0.0,0.15333333333333332
0.0,0.2,0.0,0.165
0.0,0.25,0.0,0.168
0.0,0.3,0.0,0.18666666666666668
0.0,0.35,0.0,0.18857142857142858
0.0,0.4,0.0,0.17
0.0,0.45,0.0,0.1511111111111111
0.0,0.5,0.0,0.136
0.0,0.55,0.0,0.12363636363636364
0.0,0.6,0.0,0.11333333333333333
0.0,0.65,0.0,0.10461538461538461
0.0,0.7,0.0,0.09714285714285714
0.0,0.75,0.0,0.09066666666666667
0.0,0.8,0.0,0.085
0.0,0.85,0.0,0.08
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.0,0.05,0.0,0.08
0.0,0.1,0.0,0.11
0.0,0.15,0.0,0.12
0.0,0.2,0.0,0.13
0.0,0.25,0.0,0.144
0.0,0.3,0.0,0.17
0.0,0.35,0.0,0.15428571428571428
0.0,0.4,0.0,0.14
0.0,0.45,0.0,0.12444444444444444
0.0,0.5,0.0,0.112
0.0,0.55,0.0,0.10181818181818182
0.0,0.6,0.0,0.09333333333333334
0.0,0.65,0.0,0.08615384615384615
0.0,0.7,0.0,0.08
0.0,0.75,0.0,0.07466666666666667
0.0,0.8,0.0,0.07
0.0,0.85,0.0,0.06588235294117648
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.0,0.05,0.0,0.14
0.0,0.1,0.0,0.17
0.0,0.15,0.0,0.15333333333333332
0.0,0.2,0.0,0.145
0.0,0.25,0.0,0.156
0.0,0.3,0.0,0.18333333333333332
0.0,0.35,0.0,0.18
0.0,0.4,0.0,0.165
0.0,0.45,0.0,0.14666666666666667
0.0,0.5,0.0,0.132
0.0,0.55,0.0,0.12
0.0,0.6,0.0,0.11
0.0,0.65,0.0,0.10153846153846154
0.0,0.7,0.0,0.09428571428571429
0.0,0.75,0.0,0.088
0.0,0.8,0.0,0.0825
0.0,0.85,0.0,0.07764705882352942
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.0,0.05,0.0,0.06
0.0,0.1,0.0,0.08
0.0,0.15,0.0,0.11333333333333333
0.0,0.2,0.0,0.135
0.0,0.25,0.0,0.144
0.0,0.3,0.0,0.16
0.0,0.35,0.0,0.15714285714285714
0.0,0.4,0.0,0.1375
0.0,0.45,0.0,0.12222222222222222
0.0,0.5,0.0,0.11
0.0,0.55,0.0,0.1
0.0,0.6,0.0,0.09166666666666666
0.0,0.65,0.0,0.08461538461538462
0.0,0.7,0.0,0.07857142857142857
0.0,0.75,0.0,0.07333333333333333
0.0,0.8,0.0,0.06875
0.0,0.85,0.0,0.06470588235294118
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.0,0.05,0.0,0.02
0.0,0.1,0.0,0.06
0.0,0.15,0.0,0.08
0.0,0.2,0.0,0.115
0.0,0.25,0.0,0.148
0.0,0.3,0.0,0.16666666666666666
0.0,0.35,0.0,0.1742857142857143
0.0,0.4,0.0,0.155
0.0,0.45,0.0,0.13777777777777778
0.0,0.5,0.0,0.124
0.0,0.55,0.0,0.11272727272727273
0.0,0.6,0.0,0.10333333333333333
0.0,0.65,0.0,0.09538461538461539
0.0,0.7,0.0,0.08857142857142856
0.0,0.75,0.0,0.08266666666666667
0.0,0.8,0.0,0.0775
0.0,0.85,0.0,0.07294117647058823
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.0,0.05,0.0,0.16
0.0,0.1,0.0,0.15
0.0,0.15,0.0,0.16
0.0,0.2,0.0,0.165
0.0,0.25,0.0,0.16
0.0,0.3,0.0,0.18666666666666668
0.0,0.35,0.0,0.20285714285714285
0.0,0.4,0.0,0.1775
0.0,0.45,0.0,0.15777777777777777
0.0,0.5,0.0,0.142
0.0,0.55,0.0,0.1290909090909091
0.0,0.6,0.0,0.11833333333333333
0.0,0.65,0.0,0.10923076923076923
0.0,0.7,0.0,0.10142857142857142
0.0,0.75,0.0,0.09466666666666666
0.0,0.8,0.0,0.08875
0.0,0.85,0.0,0.08352941176470588
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.0,0.05,0.0,0.16
0.0,0.1,0.0,0.2
0.0,0.15,0.0,0.14666666666666667
0.0,0.2,0.0,0.145
0.0,0.25,0.0,0.148
0.0,0.3,0.0,0.16
0.0,0.35,0.0,0.1657142857142857
0.0,0.4,0.0,0.165
0.0,0.45,0.0,0.14666666666666667
0.0,0.5,0.0,0.132
0.0,0.55,0.0,0.12
0.0,0.6,0.0,0.11
0.0,0.65,0.0,0.10153846153846154
0.0,0.7,0.0,0.09428571428571429
0.0,0.75,0.0,0.088
0.0,0.8,0.0,0.0825
0.0,0.85,0.0,0.07764705882352942
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.0,0.05,0.0,0.1
0.0,0.1,0.0,0.15
0.0,0.15,0.0,0.11333333333333333
0.0,0.2,0.0,0.13
0.0,0.25,0.0,0.156
0.0,0.3,0.0,0.17333333333333334
0.0,0.35,0.0,0.1742857142857143
0.0,0.4,0.0,0.1525
0.0,0.45,0.0,0.13555555555555557
0.0,0.5,0.0,0.122
0.0,0.55,0.0,0.11090909090909092
0.0,0.6,0.0,0.10166666666666667
0.0,0.65,0.0,0.09384615384615384
0.0,0.7,0.0,0.08714285714285715
0.0,0.75,0.0,0.08133333333333333
0.0,0.8,0.0,0.07625
0.0,0.85,0.0,0.07176470588235294
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.0,0.05,0.0,0.08
0.0,0.1,0.0,0.13
0.0,0.15,0.0,0.15333333333333332
0.0,0.2,0.0,0.19
0.0,0.25,0.0,0.212
0.0,0.3,0.0,0.22666666666666666
0.0,0.35,0.0,0.22857142857142856
0.0,0.4,0.0,0.205
0.0,0.45,0.0,0.18222222222222223
0.0,0.5,0.0,0.164
0.0,0.55,0.0,0.14909090909090908
0.0,0.6,0.0,0.13666666666666666
0.0,0.65,0.0,0.12615384615384614
0.0,0.7,0.0,0.11714285714285715
0.0,0.75,0.0,0.10933333333333334
0.0,0.8,0.0,0.1025
0.0,0.85,0.0,0.09647058823529411
0.0,0.9,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525
0.0,1.0,0.0,0.2
0.03333333333333333,0.05,0.08,0.16
0.03333333333333333,0.1,0.05,0.19
0.03333333333333333,0.15,0.04666666666666667,0.17333333333333334
0.03333333333333333,0.2,0.035,0.175
0.03333333333333333,0.25,0.032,0.16
0.03333333333333333,0.3,0.03,0.17
0.03333333333333333,0.35,0.03428571428571429,0.17142857142857143
0.03333333333333333,0.4,0.03,0.15
0.03333333333333333,0.45,0.02666666666666667,0.13333333333333333
0.03333333333333333,0.5,0.024,0.12
0.03333333333333333,0.55,0.02181818181818182,0.10909090909090909
0.03333333333333333,0.6,0.02,0.1
0.03333333333333333,0.65,0.018461538461538463,0.09230769230769231
0.03333333333333333,0.7,0.017142857142857144,0.08571428571428572
0.03333333333333333,0.75,0.016,0.08
0.03333333333333333,0.8,0.015,0.075
0.03333333333333333,0.85,0.027058823529411764,0.07058823529411765
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.03333333333333333,0.05,0.0,0.16
0.03333333333333333,0.1,0.01,0.13
0.03333333333333333,0.15,0.013333333333333334,0.13333333333333333
0.03333333333333333,0.2,0.02,0.15
0.03333333333333333,0.25,0.02,0.152
0.03333333333333333,0.3,0.02666666666666667,0.16333333333333333
0.03333333333333333,0.35,0.02857142857142857,0.18571428571428572
0.03333333333333333,0.4,0.025,0.1725
0.03333333333333333,0.45,0.022222222222222223,0.15333333333333332
0.03333333333333333,0.5,0.02,0.138
0.03333333333333333,0.55,0.01818181818181818,0.12545454545454546
0.03333333333333333,0.6,0.016666666666666666,0.115
0.03333333333333333,0.65,0.015384615384615385,0.10615384615384615
0.03333333333333333,0.7,0.014285714285714285,0.09857142857142857
0.03333333333333333,0.75,0.013333333333333334,0.092
0.03333333333333333,0.8,0.0125,0.08625
0.03333333333333333,0.85,0.01647058823529412,0.0811764705882353
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.03333333333333333,0.05,0.04,0.12
0.03333333333333333,0.1,0.05,0.12
0.03333333333333333,0.15,0.05333333333333334,0.14
0.03333333333333333,0.2,0.045,0.155
0.03333333333333333,0.25,0.04,0.16
0.03333333333333333,0.3,0.03666666666666667,0.17
0.03333333333333333,0.35,0.03142857142857143,0.16285714285714287
0.03333333333333333,0.4,0.0325,0.15
0.03333333333333333,0.45,0.028888888888888888,0.13333333333333333
0.03333333333333333,0.5,0.026,0.12
0.03333333333333333,0.55,0.023636363636363636,0.10909090909090909
0.03333333333333333,0.6,0.021666666666666667,0.1
0.03333333333333333,0.65,0.02,0.09230769230769231
0.03333333333333333,0.7,0.018571428571428572,0.08571428571428572
0.03333333333333333,0.75,0.017333333333333333,0.08
0.03333333333333333,0.8,0.01625,0.075
0.03333333333333333,0.85,0.027058823529411764,0.07058823529411765
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.03333333333333333,0.05,0.04,0.12
0.03333333333333333,0.1,0.02,0.18
0.03333333333333333,0.15,0.02,0.17333333333333334
0.03333333333333333,0.2,0.025,0.165
0.03333333333333333,0.25,0.028,0.148
0.03333333333333333,0.3,0.02666666666666667,0.17333333333333334
0.03333333333333333,0.35,0.03142857142857143,0.19142857142857142
0.03333333333333333,0.4,0.03,0.185
0.03333333333333333,0.45,0.02666666666666667,0.16444444444444445
0.03333333333333333,0.5,0.024,0.148
0.03333333333333333,0.55,0.02181818181818182,0.13454545454545455
0.03333333333333333,0.6,0.02,0.12333333333333334
0.03333333333333333,0.65,0.018461538461538463,0.11384615384615385
0.03333333333333333,0.7,0.017142857142857144,0.10571428571428572
0.03333333333333333,0.75,0.016,0.09866666666666667
0.03333333333333333,0.8,0.015,0.0925
0.03333333333333333,0.85,0.01411764705882353,0.08705882352941176
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.03333333333333333,0.05,0.04,0.12
0.03333333333333333,0.1,0.05,0.12
0.03333333333333333,0.15,0.05333333333333334,0.11333333333333333
0.03333333333333333,0.2,0.045,0.12
0.03333333333333333,0.25,0.04,0.16
0.03333333333333333,0.3,0.04,0.16333333333333333
0.03333333333333333,0.35,0.04,0.16285714285714287
0.03333333333333333,0.4,0.0375,0.16
0.03333333333333333,0.45,0.03333333333333333,0.14222222222222222
0.03333333333333333,0.5,0.03,0.128
0.03333333333333333,0.55,0.02727272727272727,0.11636363636363636
0.03333333333333333,0.6,0.025,0.10666666666666667
0.03333333333333333,0.65,0.023076923076923078,0.09846153846153846
0.03333333333333333,0.7,0.02142857142857143,0.09142857142857143
0.03333333333333333,0.75,0.02,0.08533333333333333
0.03333333333333333,0.8,0.01875,0.08
0.03333333333333333,0.85,0.02235294117647059,0.07529411764705882
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.03333333333333333,0.05,0.0,0.04
0.03333333333333333,0.1,0.01,0.07
0.03333333333333333,0.15,0.013333333333333334,0.1
0.03333333333333333,0.2,0.015,0.15
0.03333333333333333,0.25,0.028,0.148
0.03333333333333333,0.3,0.03,0.16333333333333333
0.03333333333333333,0.35,0.03428571428571429,0.18
0.03333333333333333,0.4,0.03,0.1575
0.03333333333333333,0.45,0.02666666666666667,0.14
0.03333333333333333,0.5,0.024,0.126
0.03333333333333333,0.55,0.02181818181818182,0.11454545454545455
0.03333333333333333,0.6,0.02,0.105
0.03333333333333333,0.65,0.018461538461538463,0.09692307692307692
0.03333333333333333,0.7,0.017142857142857144,0.09
0.03333333333333333,0.75,0.016,0.084
0.03333333333333333,0.8,0.015,0.07875
0.03333333333333333,0.85,0.023529411764705882,0.07411764705882352
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.03333333333333333,0.05,0.06,0.06
0.03333333333333333,0.1,0.07,0.1
0.03333333333333333,0.15,0.05333333333333334,0.15333333333333332
0.03333333333333333,0.2,0.045,0.175
0.03333333333333333,0.25,0.036,0.212
0.03333333333333333,0.3,0.04,0.23
0.03333333333333333,0.35,0.037142857142857144,0.21142857142857144
0.03333333333333333,0.4,0.035,0.185
0.03333333333333333,0.45,0.03111111111111111,0.16444444444444445
0.03333333333333333,0.5,0.028,0.148
0.03333333333333333,0.55,0.025454545454545455,0.13454545454545455
0.03333333333333333,0.6,0.023333333333333334,0.12333333333333334
0.03333333333333333,0.65,0.021538461538461538,0.11384615384615385
0.03333333333333333,0.7,0.02,0.10571428571428572
0.03333333333333333,0.75,0.018666666666666668,0.09866666666666667
0.03333333333333333,0.8,0.0175,0.0925
0.03333333333333333,0.85,0.01647058823529412,0.08705882352941176
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.03333333333333333,0.05,0.04,0.22
0.03333333333333333,0.1,0.04,0.21
0.03333333333333333,0.15,0.03333333333333333,0.21333333333333335
0.03333333333333333,0.2,0.03,0.195
0.03333333333333333,0.25,0.028,0.204
0.03333333333333333,0.3,0.02666666666666667,0.20666666666666667
0.03333333333333333,0.35,0.025714285714285714,0.21428571428571427
0.03333333333333333,0.4,0.0225,0.1975
0.03333333333333333,0.45,0.02,0.17555555555555555
0.03333333333333333,0.5,0.018,0.158
0.03333333333333333,0.55,0.016363636363636365,0.14363636363636365
0.03333333333333333,0.6,0.015,0.13166666666666665
0.03333333333333333,0.65,0.013846153846153847,0.12153846153846154
0.03333333333333333,0.7,0.012857142857142857,0.11285714285714285
0.03333333333333333,0.75,0.012,0.10533333333333333
0.03333333333333333,0.8,0.01125,0.09875
0.03333333333333333,0.85,0.010588235294117647,0.09294117647058824
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.03333333333333333,0.05,0.02,0.14
0.03333333333333333,0.1,0.01,0.12
0.03333333333333333,0.15,0.02666666666666667,0.12666666666666668
0.03333333333333333,0.2,0.025,0.155
0.03333333333333333,0.25,0.024,0.148
0.03333333333333333,0.3,0.02666666666666667,0.16333333333333333
0.03333333333333333,0.35,0.025714285714285714,0.19142857142857142
0.03333333333333333,0.4,0.0225,0.17
0.03333333333333333,0.45,0.02,0.1511111111111111
0.03333333333333333,0.5,0.018,0.136
0.03333333333333333,0.55,0.016363636363636365,0.12363636363636364
0.03333333333333333,0.6,0.015,0.11333333333333333
0.03333333333333333,0.65,0.013846153846153847,0.10461538461538461
0.03333333333333333,0.7,0.012857142857142857,0.09714285714285714
0.03333333333333333,0.75,0.012,0.09066666666666667
0.03333333333333333,0.8,0.01125,0.085
0.03333333333333333,0.85,0.01764705882352941,0.08
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.03333333333333333,0.05,0.02,0.16
0.03333333333333333,0.1,0.04,0.16
0.03333333333333333,0.15,0.04,0.19333333333333333
0.03333333333333333,0.2,0.035,0.2
0.03333333333333333,0.25,0.028,0.208
0.03333333333333333,0.3,0.03333333333333333,0.21333333333333335
0.03333333333333333,0.35,0.03142857142857143,0.21142857142857144
0.03333333333333333,0.4,0.03,0.185
0.03333333333333333,0.45,0.02666666666666667,0.16444444444444445
0.03333333333333333,0.5,0.024,0.148
0.03333333333333333,0.55,0.02181818181818182,0.13454545454545455
0.03333333333333333,0.6,0.02,0.12333333333333334
0.03333333333333333,0.65,0.018461538461538463,0.11384615384615385
0.03333333333333333,0.7,0.017142857142857144,0.10571428571428572
0.03333333333333333,0.75,0.016,0.09866666666666667
0.03333333333333333,0.8,0.015,0.0925
0.03333333333333333,0.85,0.01411764705882353,0.08705882352941176
0.03333333333333333,0.9,0.03666666666666667,0.1111111111111111
0.03333333333333333,0.95,0.034736842105263156,0.15789473684210525
0.03333333333333333,1.0,0.033,0.2
0.06666666666666667,0.05,0.08,0.28
0.06666666666666667,0.1,0.07,0.25
0.06666666666666667,0.15,0.04666666666666667,0.20666666666666667
0.06666666666666667,0.2,0.07,0.195
0.06666666666666667,0.25,0.08,0.184
0.06666666666666667,0.3,0.09,0.17666666666666667
0.06666666666666667,0.35,0.07714285714285714,0.16857142857142857
0.06666666666666667,0.4,0.0675,0.1575
0.06666666666666667,0.45,0.06,0.14
0.06666666666666667,0.5,0.054,0.126
0.06666666666666667,0.55,0.04909090909090909,0.11454545454545455
0.06666666666666667,0.6,0.045,0.105
0.06666666666666667,0.65,0.04153846153846154,0.09692307692307692
0.06666666666666667,0.7,0.03857142857142857,0.09
0.06666666666666667,0.75,0.036,0.084
0.06666666666666667,0.8,0.03375,0.07875
0.06666666666666667,0.85,0.06352941176470588,0.07411764705882352
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.0,0.12
0.06666666666666667,0.1,0.03,0.14
0.06666666666666667,0.15,0.04666666666666667,0.15333333333333332
0.06666666666666667,0.2,0.04,0.165
0.06666666666666667,0.25,0.036,0.16
0.06666666666666667,0.3,0.043333333333333335,0.16
0.06666666666666667,0.35,0.054285714285714284,0.17142857142857143
0.06666666666666667,0.4,0.0575,0.1725
0.06666666666666667,0.45,0.051111111111111114,0.15333333333333332
0.06666666666666667,0.5,0.046,0.138
0.06666666666666667,0.55,0.04181818181818182,0.12545454545454546
0.06666666666666667,0.6,0.03833333333333333,0.115
0.06666666666666667,0.65,0.03538461538461538,0.10615384615384615
0.06666666666666667,0.7,0.032857142857142856,0.09857142857142857
0.06666666666666667,0.75,0.030666666666666665,0.092
0.06666666666666667,0.8,0.02875,0.08625
0.06666666666666667,0.85,0.05647058823529412,0.0811764705882353
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.08,0.14
0.06666666666666667,0.1,0.06,0.15
0.06666666666666667,0.15,0.06,0.17333333333333334
0.06666666666666667,0.2,0.065,0.165
0.06666666666666667,0.25,0.068,0.172
0.06666666666666667,0.3,0.07333333333333333,0.16666666666666666
0.06666666666666667,0.35,0.06571428571428571,0.17142857142857143
0.06666666666666667,0.4,0.0575,0.1625
0.06666666666666667,0.45,0.051111111111111114,0.14444444444444443
0.06666666666666667,0.5,0.046,0.13
0.06666666666666667,0.55,0.04181818181818182,0.11818181818181818
0.06666666666666667,0.6,0.03833333333333333,0.10833333333333334
0.06666666666666667,0.65,0.03538461538461538,0.1
0.06666666666666667,0.7,0.032857142857142856,0.09285714285714286
0.06666666666666667,0.75,0.030666666666666665,0.08666666666666667
0.06666666666666667,0.8,0.02875,0.08125
0.06666666666666667,0.85,0.0611764705882353,0.07647058823529412
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.06,0.26
0.06666666666666667,0.1,0.05,0.24
0.06666666666666667,0.15,0.06,0.19333333333333333
0.06666666666666667,0.2,0.055,0.18
0.06666666666666667,0.25,0.06,0.2
0.06666666666666667,0.3,0.06333333333333334,0.18666666666666668
0.06666666666666667,0.35,0.06571428571428571,0.18571428571428572
0.06666666666666667,0.4,0.06,0.1775
0.06666666666666667,0.45,0.05333333333333334,0.15777777777777777
0.06666666666666667,0.5,0.048,0.142
0.06666666666666667,0.55,0.04363636363636364,0.1290909090909091
0.06666666666666667,0.6,0.04,0.11833333333333333
0.06666666666666667,0.65,0.036923076923076927,0.10923076923076923
0.06666666666666667,0.7,0.03428571428571429,0.10142857142857142
0.06666666666666667,0.75,0.032,0.09466666666666666
0.06666666666666667,0.8,0.03,0.08875
0.06666666666666667,0.85,0.05411764705882353,0.08352941176470588
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.16,0.16
0.06666666666666667,0.1,0.1,0.15
0.06666666666666667,0.15,0.07333333333333333,0.16
0.06666666666666667,0.2,0.07,0.155
0.06666666666666667,0.25,0.064,0.164
0.06666666666666667,0.3,0.06,0.17333333333333334
0.06666666666666667,0.35,0.06,0.18
0.06666666666666667,0.4,0.0575,0.165
0.06666666666666667,0.45,0.051111111111111114,0.14666666666666667
0.06666666666666667,0.5,0.046,0.132
0.06666666666666667,0.55,0.04181818181818182,0.12
0.06666666666666667,0.6,0.03833333333333333,0.11
0.06666666666666667,0.65,0.03538461538461538,0.10153846153846154
0.06666666666666667,0.7,0.032857142857142856,0.09428571428571429
0.06666666666666667,0.75,0.030666666666666665,0.088
0.06666666666666667,0.8,0.02875,0.0825
0.06666666666666667,0.85,0.06,0.07764705882352942
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.02,0.08
0.06666666666666667,0.1,0.04,0.1
0.06666666666666667,0.15,0.04666666666666667,0.11333333333333333
0.06666666666666667,0.2,0.055,0.13
0.06666666666666667,0.25,0.052,0.148
0.06666666666666667,0.3,0.05333333333333334,0.15
0.06666666666666667,0.35,0.06,0.16285714285714287
0.06666666666666667,0.4,0.06,0.1625
0.06666666666666667,0.45,0.05333333333333334,0.14444444444444443
0.06666666666666667,0.5,0.048,0.13
0.06666666666666667,0.55,0.04363636363636364,0.11818181818181818
0.06666666666666667,0.6,0.04,0.10833333333333334
0.06666666666666667,0.65,0.036923076923076927,0.1
0.06666666666666667,0.7,0.03428571428571429,0.09285714285714286
0.06666666666666667,0.75,0.032,0.08666666666666667
0.06666666666666667,0.8,0.03,0.08125
0.06666666666666667,0.85,0.0611764705882353,0.07647058823529412
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.08,0.12
0.06666666666666667,0.1,0.06,0.16
0.06666666666666667,0.15,0.08666666666666667,0.17333333333333334
0.06666666666666667,0.2,0.08,0.185
