hc,prop_covert,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k,overt_inequity_score
0.0,0.0,0.0,0.06,0.0,0.06,0.3
0.0,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.0,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.0,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.0,0.0,0.0,0.06,0.0,0.06,0.3
0.0,0.0,0.0,0.02,0.0,0.02,0.09999999999999999
0.0,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.0,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.0,0.0,0.0,0.1,0.0,0.1,0.5
0.0,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.0,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.0,0.022222222222222223,0.04,0.12,0.1111111111111111,0.16,0.6749999999999999
0.0,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.0,0.022222222222222223,0.0,0.06,0.1111111111111111,0.06,0.33749999999999997
0.0,0.022222222222222223,0.0,0.04,0.1111111111111111,0.04,0.225
0.0,0.022222222222222223,0.0,0.02,0.1111111111111111,0.02,0.1125
0.0,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.0,0.022222222222222223,0.04,0.06,0.1111111111111111,0.1,0.33749999999999997
0.0,0.022222222222222223,0.02,0.08,0.1111111111111111,0.1,0.45
0.0,0.022222222222222223,0.0,0.04,0.1111111111111111,0.04,0.225
0.0,0.044444444444444446,0.02,0.04,0.2222222222222222,0.06,0.2571428571428571
0.0,0.044444444444444446,0.02,0.1,0.2222222222222222,0.12000000000000001,0.6428571428571429
0.0,0.044444444444444446,0.0,0.06,0.2222222222222222,0.06,0.3857142857142857
0.0,0.044444444444444446,0.0,0.04,0.2222222222222222,0.04,0.2571428571428571
0.0,0.044444444444444446,0.0,0.04,0.2222222222222222,0.04,0.2571428571428571
0.0,0.044444444444444446,0.0,0.04,0.2222222222222222,0.04,0.2571428571428571
0.0,0.044444444444444446,0.02,0.04,0.2222222222222222,0.06,0.2571428571428571
0.0,0.044444444444444446,0.02,0.1,0.2222222222222222,0.12000000000000001,0.6428571428571429
0.0,0.044444444444444446,0.0,0.08,0.2222222222222222,0.08,0.5142857142857142
0.0,0.044444444444444446,0.0,0.06,0.2222222222222222,0.06,0.3857142857142857
0.0,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.0,0.06666666666666667,0.02,0.02,0.3333333333333333,0.04,0.14999999999999997
0.0,0.06666666666666667,0.0,0.1,0.3333333333333333,0.1,0.7499999999999999
0.0,0.06666666666666667,0.0,0.0,0.3333333333333333,0.0,0.0
0.0,0.06666666666666667,0.0,0.08,0.3333333333333333,0.08,0.5999999999999999
0.0,0.06666666666666667,0.0,0.02,0.3333333333333333,0.02,0.14999999999999997
0.0,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.0,0.06666666666666667,0.06,0.06,0.3333333333333333,0.12,0.4499999999999999
0.0,0.06666666666666667,0.04,0.04,0.3333333333333333,0.08,0.29999999999999993
0.0,0.06666666666666667,0.0,0.08,0.3333333333333333,0.08,0.5999999999999999
0.0,0.08888888888888889,0.0,0.04,0.4444444444444444,0.04,0.36
0.0,0.08888888888888889,0.02,0.08,0.4444444444444444,0.1,0.72
0.0,0.08888888888888889,0.0,0.06,0.4444444444444444,0.06,0.5399999999999999
0.0,0.08888888888888889,0.0,0.0,0.4444444444444444,0.0,0.0
0.0,0.08888888888888889,0.02,0.06,0.4444444444444444,0.08,0.5399999999999999
0.0,0.08888888888888889,0.0,0.0,0.4444444444444444,0.0,0.0
0.0,0.08888888888888889,0.0,0.04,0.4444444444444444,0.04,0.36
0.0,0.08888888888888889,0.04,0.04,0.4444444444444444,0.08,0.36
0.0,0.08888888888888889,0.04,0.08,0.4444444444444444,0.12,0.72
0.0,0.08888888888888889,0.02,0.04,0.4444444444444444,0.06,0.36
0.0,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
0.0,0.11111111111111112,0.02,0.1,0.5555555555555556,0.12000000000000001,1.125
0.0,0.11111111111111112,0.0,0.06,0.5555555555555556,0.06,0.6749999999999999
0.0,0.11111111111111112,0.0,0.0,0.5555555555555556,0.0,0.0
0.0,0.11111111111111112,0.02,0.08,0.5555555555555556,0.1,0.9
0.0,0.11111111111111112,0.0,0.0,0.5555555555555556,0.0,0.0
0.0,0.11111111111111112,0.0,0.06,0.5555555555555556,0.06,0.6749999999999999
0.0,0.11111111111111112,0.04,0.04,0.5555555555555556,0.08,0.45
0.0,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
0.0,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
0.0,0.13333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
0.0,0.13333333333333333,0.02,0.08,0.6666666666666666,0.1,1.1999999999999997
0.0,0.13333333333333333,0.02,0.04,0.6666666666666666,0.06,0.5999999999999999
0.0,0.13333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
0.0,0.13333333333333333,0.04,0.08,0.6666666666666666,0.12,1.1999999999999997
0.0,0.13333333333333333,0.0,0.02,0.6666666666666666,0.02,0.29999999999999993
0.0,0.13333333333333333,0.0,0.02,0.6666666666666666,0.02,0.29999999999999993
0.0,0.13333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
0.0,0.13333333333333333,0.0,0.04,0.6666666666666666,0.04,0.5999999999999999
0.0,0.13333333333333333,0.02,0.02,0.6666666666666666,0.04,0.29999999999999993
0.0,0.15555555555555556,0.0,0.0,0.7777777777777778,0.0,0.0
0.0,0.15555555555555556,0.02,0.04,0.7777777777777778,0.06,0.8999999999999998
0.0,0.15555555555555556,0.0,0.0,0.7777777777777778,0.0,0.0
0.0,0.15555555555555556,0.0,0.02,0.7777777777777778,0.02,0.4499999999999999
0.0,0.15555555555555556,0.0,0.0,0.7777777777777778,0.0,0.0
0.0,0.15555555555555556,0.0,0.0,0.7777777777777778,0.0,0.0
0.0,0.15555555555555556,0.0,0.02,0.7777777777777778,0.02,0.4499999999999999
0.0,0.15555555555555556,0.02,0.04,0.7777777777777778,0.06,0.8999999999999998
0.0,0.15555555555555556,0.04,0.04,0.7777777777777778,0.08,0.8999999999999998
0.0,0.15555555555555556,0.02,0.04,0.7777777777777778,0.06,0.8999999999999998
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.04,0.04,0.8888888888888888,0.08,1.7999999999999996
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.0,0.02,0.8888888888888888,0.02,0.8999999999999998
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.02,0.0,0.8888888888888888,0.02,0.0
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.02,0.0,1.0,0.02,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.1111111111111111,0.0,0.0,0.06,0.0,0.06,0.3
0.1111111111111111,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.1111111111111111,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.1111111111111111,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.1111111111111111,0.0,0.0,0.06,0.0,0.06,0.3
0.1111111111111111,0.0,0.0,0.02,0.0,0.02,0.09999999999999999
0.1111111111111111,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.1111111111111111,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.1111111111111111,0.0,0.0,0.1,0.0,0.1,0.5
0.1111111111111111,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.1111111111111111,0.022222222222222223,0.02,0.06,0.1111111111111111,0.08,0.33749999999999997
0.1111111111111111,0.022222222222222223,0.04,0.16,0.1111111111111111,0.2,0.9
0.1111111111111111,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.1111111111111111,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.1111111111111111,0.022222222222222223,0.02,0.04,0.1111111111111111,0.06,0.225
0.1111111111111111,0.022222222222222223,0.0,0.04,0.1111111111111111,0.04,0.225
0.1111111111111111,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.1111111111111111,0.022222222222222223,0.04,0.12,0.1111111111111111,0.16,0.6749999999999999
0.1111111111111111,0.022222222222222223,0.0,0.04,0.1111111111111111,0.04,0.225
0.1111111111111111,0.022222222222222223,0.04,0.06,0.1111111111111111,0.1,0.33749999999999997
0.1111111111111111,0.044444444444444446,0.06,0.06,0.2222222222222222,0.12,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.04,0.16,0.2222222222222222,0.2,1.0285714285714285
0.1111111111111111,0.044444444444444446,0.0,0.06,0.2222222222222222,0.06,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.02,0.06,0.2222222222222222,0.08,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.0,0.04,0.2222222222222222,0.04,0.2571428571428571
0.1111111111111111,0.044444444444444446,0.0,0.08,0.2222222222222222,0.08,0.5142857142857142
0.1111111111111111,0.044444444444444446,0.0,0.06,0.2222222222222222,0.06,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.06,0.06,0.2222222222222222,0.12,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.02,0.1,0.2222222222222222,0.12000000000000001,0.6428571428571429
0.1111111111111111,0.044444444444444446,0.02,0.06,0.2222222222222222,0.08,0.3857142857142857
0.1111111111111111,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.1111111111111111,0.06666666666666667,0.04,0.12,0.3333333333333333,0.16,0.8999999999999998
0.1111111111111111,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.1111111111111111,0.06666666666666667,0.06,0.06,0.3333333333333333,0.12,0.4499999999999999
0.1111111111111111,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.1111111111111111,0.06666666666666667,0.0,0.02,0.3333333333333333,0.02,0.14999999999999997
0.1111111111111111,0.06666666666666667,0.0,0.08,0.3333333333333333,0.08,0.5999999999999999
0.1111111111111111,0.06666666666666667,0.02,0.12,0.3333333333333333,0.13999999999999999,0.8999999999999998
0.1111111111111111,0.06666666666666667,0.0,0.06,0.3333333333333333,0.06,0.4499999999999999
0.1111111111111111,0.06666666666666667,0.02,0.04,0.3333333333333333,0.06,0.29999999999999993
0.1111111111111111,0.08888888888888889,0.04,0.04,0.4444444444444444,0.08,0.36
0.1111111111111111,0.08888888888888889,0.02,0.1,0.4444444444444444,0.12000000000000001,0.9
0.1111111111111111,0.08888888888888889,0.02,0.04,0.4444444444444444,0.06,0.36
0.1111111111111111,0.08888888888888889,0.02,0.02,0.4444444444444444,0.04,0.18
0.1111111111111111,0.08888888888888889,0.02,0.02,0.4444444444444444,0.04,0.18
0.1111111111111111,0.08888888888888889,0.0,0.02,0.4444444444444444,0.02,0.18
0.1111111111111111,0.08888888888888889,0.0,0.06,0.4444444444444444,0.06,0.5399999999999999
0.1111111111111111,0.08888888888888889,0.06,0.02,0.4444444444444444,0.08,0.18
0.1111111111111111,0.08888888888888889,0.02,0.08,0.4444444444444444,0.1,0.72
0.1111111111111111,0.08888888888888889,0.0,0.04,0.4444444444444444,0.04,0.36
0.1111111111111111,0.11111111111111112,0.0,0.02,0.5555555555555556,0.02,0.225
0.1111111111111111,0.11111111111111112,0.06,0.1,0.5555555555555556,0.16,1.125
0.1111111111111111,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
0.1111111111111111,0.11111111111111112,0.02,0.0,0.5555555555555556,0.02,0.0
0.1111111111111111,0.11111111111111112,0.1,0.08,0.5555555555555556,0.18,0.9
0.1111111111111111,0.11111111111111112,0.04,0.0,0.5555555555555556,0.04,0.0
0.1111111111111111,0.11111111111111112,0.04,0.06,0.5555555555555556,0.1,0.6749999999999999
0.1111111111111111,0.11111111111111112,0.04,0.02,0.5555555555555556,0.06,0.225
0.1111111111111111,0.11111111111111112,0.02,0.12,0.5555555555555556,0.13999999999999999,1.3499999999999999
0.1111111111111111,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
0.1111111111111111,0.13333333333333333,0.04,0.0,0.6666666666666666,0.04,0.0
0.1111111111111111,0.13333333333333333,0.02,0.02,0.6666666666666666,0.04,0.29999999999999993
0.1111111111111111,0.13333333333333333,0.04,0.06,0.6666666666666666,0.1,0.8999999999999998
0.1111111111111111,0.13333333333333333,0.02,0.0,0.6666666666666666,0.02,0.0
0.1111111111111111,0.13333333333333333,0.06,0.06,0.6666666666666666,0.12,0.8999999999999998
0.1111111111111111,0.13333333333333333,0.04,0.02,0.6666666666666666,0.06,0.29999999999999993
0.1111111111111111,0.13333333333333333,0.02,0.04,0.6666666666666666,0.06,0.5999999999999999
0.1111111111111111,0.13333333333333333,0.04,0.04,0.6666666666666666,0.08,0.5999999999999999
0.1111111111111111,0.13333333333333333,0.0,0.06,0.6666666666666666,0.06,0.8999999999999998
0.1111111111111111,0.13333333333333333,0.04,0.02,0.6666666666666666,0.06,0.29999999999999993
0.1111111111111111,0.15555555555555556,0.06,0.0,0.7777777777777778,0.06,0.0
0.1111111111111111,0.15555555555555556,0.02,0.04,0.7777777777777778,0.06,0.8999999999999998
0.1111111111111111,0.15555555555555556,0.1,0.04,0.7777777777777778,0.14,0.8999999999999998
0.1111111111111111,0.15555555555555556,0.02,0.0,0.7777777777777778,0.02,0.0
0.1111111111111111,0.15555555555555556,0.04,0.04,0.7777777777777778,0.08,0.8999999999999998
0.1111111111111111,0.15555555555555556,0.02,0.02,0.7777777777777778,0.04,0.4499999999999999
0.1111111111111111,0.15555555555555556,0.06,0.02,0.7777777777777778,0.08,0.4499999999999999
0.1111111111111111,0.15555555555555556,0.02,0.04,0.7777777777777778,0.06,0.8999999999999998
0.1111111111111111,0.15555555555555556,0.06,0.04,0.7777777777777778,0.1,0.8999999999999998
0.1111111111111111,0.15555555555555556,0.06,0.02,0.7777777777777778,0.08,0.4499999999999999
0.1111111111111111,0.17777777777777778,0.08,0.0,0.8888888888888888,0.08,0.0
0.1111111111111111,0.17777777777777778,0.04,0.04,0.8888888888888888,0.08,1.7999999999999996
0.1111111111111111,0.17777777777777778,0.06,0.0,0.8888888888888888,0.06,0.0
0.1111111111111111,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.1111111111111111,0.17777777777777778,0.02,0.04,0.8888888888888888,0.06,1.7999999999999996
0.1111111111111111,0.17777777777777778,0.02,0.0,0.8888888888888888,0.02,0.0
0.1111111111111111,0.17777777777777778,0.06,0.0,0.8888888888888888,0.06,0.0
0.1111111111111111,0.17777777777777778,0.02,0.0,0.8888888888888888,0.02,0.0
0.1111111111111111,0.17777777777777778,0.06,0.0,0.8888888888888888,0.06,0.0
0.1111111111111111,0.17777777777777778,0.04,0.0,0.8888888888888888,0.04,0.0
0.1111111111111111,0.2,0.02,0.0,1.0,0.02,
0.1111111111111111,0.2,0.06,0.0,1.0,0.06,
0.1111111111111111,0.2,0.04,0.0,1.0,0.04,
0.1111111111111111,0.2,0.04,0.0,1.0,0.04,
0.1111111111111111,0.2,0.1,0.0,1.0,0.1,
0.1111111111111111,0.2,0.06,0.0,1.0,0.06,
0.1111111111111111,0.2,0.04,0.0,1.0,0.04,
0.1111111111111111,0.2,0.16,0.0,1.0,0.16,
0.1111111111111111,0.2,0.04,0.0,1.0,0.04,
0.1111111111111111,0.2,0.1,0.0,1.0,0.1,
0.2222222222222222,0.0,0.0,0.06,0.0,0.06,0.3
0.2222222222222222,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.2222222222222222,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.2222222222222222,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.2222222222222222,0.0,0.0,0.06,0.0,0.06,0.3
0.2222222222222222,0.0,0.0,0.02,0.0,0.02,0.09999999999999999
0.2222222222222222,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.2222222222222222,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.2222222222222222,0.0,0.0,0.1,0.0,0.1,0.5
0.2222222222222222,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.2222222222222222,0.022222222222222223,0.02,0.08,0.1111111111111111,0.1,0.45
0.2222222222222222,0.022222222222222223,0.02,0.14,0.1111111111111111,0.16,0.7875000000000001
0.2222222222222222,0.022222222222222223,0.0,0.04,0.1111111111111111,0.04,0.225
0.2222222222222222,0.022222222222222223,0.02,0.12,0.1111111111111111,0.13999999999999999,0.6749999999999999
0.2222222222222222,0.022222222222222223,0.04,0.04,0.1111111111111111,0.08,0.225
0.2222222222222222,0.022222222222222223,0.0,0.02,0.1111111111111111,0.02,0.1125
0.2222222222222222,0.022222222222222223,0.02,0.06,0.1111111111111111,0.08,0.33749999999999997
0.2222222222222222,0.022222222222222223,0.04,0.12,0.1111111111111111,0.16,0.6749999999999999
0.2222222222222222,0.022222222222222223,0.02,0.1,0.1111111111111111,0.12000000000000001,0.5625
0.2222222222222222,0.022222222222222223,0.04,0.1,0.1111111111111111,0.14,0.5625
0.2222222222222222,0.044444444444444446,0.04,0.08,0.2222222222222222,0.12,0.5142857142857142
0.2222222222222222,0.044444444444444446,0.02,0.1,0.2222222222222222,0.12000000000000001,0.6428571428571429
0.2222222222222222,0.044444444444444446,0.0,0.08,0.2222222222222222,0.08,0.5142857142857142
0.2222222222222222,0.044444444444444446,0.06,0.06,0.2222222222222222,0.12,0.3857142857142857
0.2222222222222222,0.044444444444444446,0.04,0.06,0.2222222222222222,0.1,0.3857142857142857
0.2222222222222222,0.044444444444444446,0.0,0.02,0.2222222222222222,0.02,0.12857142857142856
0.2222222222222222,0.044444444444444446,0.02,0.06,0.2222222222222222,0.08,0.3857142857142857
0.2222222222222222,0.044444444444444446,0.04,0.12,0.2222222222222222,0.16,0.7714285714285714
0.2222222222222222,0.044444444444444446,0.0,0.1,0.2222222222222222,0.1,0.6428571428571429
0.2222222222222222,0.044444444444444446,0.04,0.06,0.2222222222222222,0.1,0.3857142857142857
0.2222222222222222,0.06666666666666667,0.08,0.02,0.3333333333333333,0.1,0.14999999999999997
0.2222222222222222,0.06666666666666667,0.02,0.14,0.3333333333333333,0.16,1.0499999999999998
0.2222222222222222,0.06666666666666667,0.0,0.1,0.3333333333333333,0.1,0.7499999999999999
0.2222222222222222,0.06666666666666667,0.1,0.08,0.3333333333333333,0.18,0.5999999999999999
0.2222222222222222,0.06666666666666667,0.06,0.04,0.3333333333333333,0.1,0.29999999999999993
0.2222222222222222,0.06666666666666667,0.0,0.02,0.3333333333333333,0.02,0.14999999999999997
0.2222222222222222,0.06666666666666667,0.06,0.1,0.3333333333333333,0.16,0.7499999999999999
0.2222222222222222,0.06666666666666667,0.08,0.06,0.3333333333333333,0.14,0.4499999999999999
0.2222222222222222,0.06666666666666667,0.02,0.1,0.3333333333333333,0.12000000000000001,0.7499999999999999
0.2222222222222222,0.06666666666666667,0.06,0.12,0.3333333333333333,0.18,0.8999999999999998
0.2222222222222222,0.08888888888888889,0.06,0.02,0.4444444444444444,0.08,0.18
0.2222222222222222,0.08888888888888889,0.02,0.14,0.4444444444444444,0.16,1.26
0.2222222222222222,0.08888888888888889,0.02,0.04,0.4444444444444444,0.06,0.36
0.2222222222222222,0.08888888888888889,0.14,0.06,0.4444444444444444,0.2,0.5399999999999999
0.2222222222222222,0.08888888888888889,0.06,0.04,0.4444444444444444,0.1,0.36
0.2222222222222222,0.08888888888888889,0.02,0.02,0.4444444444444444,0.04,0.18
0.2222222222222222,0.08888888888888889,0.04,0.04,0.4444444444444444,0.08,0.36
0.2222222222222222,0.08888888888888889,0.1,0.06,0.4444444444444444,0.16,0.5399999999999999
0.2222222222222222,0.08888888888888889,0.02,0.08,0.4444444444444444,0.1,0.72
0.2222222222222222,0.08888888888888889,0.06,0.1,0.4444444444444444,0.16,0.9
0.2222222222222222,0.11111111111111112,0.1,0.02,0.5555555555555556,0.12000000000000001,0.225
0.2222222222222222,0.11111111111111112,0.04,0.1,0.5555555555555556,0.14,1.125
0.2222222222222222,0.11111111111111112,0.04,0.02,0.5555555555555556,0.06,0.225
0.2222222222222222,0.11111111111111112,0.1,0.0,0.5555555555555556,0.1,0.0
0.2222222222222222,0.11111111111111112,0.06,0.02,0.5555555555555556,0.08,0.225
0.2222222222222222,0.11111111111111112,0.02,0.02,0.5555555555555556,0.04,0.225
0.2222222222222222,0.11111111111111112,0.06,0.02,0.5555555555555556,0.08,0.225
0.2222222222222222,0.11111111111111112,0.08,0.08,0.5555555555555556,0.16,0.9
0.2222222222222222,0.11111111111111112,0.02,0.08,0.5555555555555556,0.1,0.9
0.2222222222222222,0.11111111111111112,0.08,0.06,0.5555555555555556,0.14,0.6749999999999999
0.2222222222222222,0.13333333333333333,0.12,0.0,0.6666666666666666,0.12,0.0
